"variable","region_i","region_j","n_i","n_j","nABCD","abs_SMD","SMD","skew_i","skew_j","skew_diff","sd_i","sd_j","sd_ratio","kurt_i","kurt_j","kurt_diff","ratio"
"age",4,11,2876,2491,0.02052,0.06132,-0.06132,-0.1361,-0.0674,0.0687,12.2168,12.2526,1.0029,2.4794,2.3721,0.1073,0.3346
"age",4,12,2876,4352,0.01038,0.02873,-0.02873,-0.1361,-0.1047,0.0314,12.2168,12.0467,1.0141,2.4794,2.4348,0.0446,0.3613
"age",4,13,2876,2297,0.03194,0.04348,-0.04348,-0.1361,-0.3438,0.2077,12.2168,11.402,1.0715,2.4794,2.7327,0.2532,0.7346
"age",4,14,2876,3437,0.01071,0.01505,-0.01505,-0.1361,-0.1166,0.0194,12.2168,11.8175,1.0338,2.4794,2.469,0.0104,0.7116
"age",4,15,2876,2576,0.00534,0.00611,-0.00611,-0.1361,-0.1226,0.0135,12.2168,12.1462,1.0058,2.4794,2.3826,0.0968,NA
"age",4,16,2876,1231,0.04645,0.08401,-0.08401,-0.1361,-0.3728,0.2367,12.2168,10.9006,1.1207,2.4794,2.625,0.1456,0.5529
"age",5,6,1909,1585,0.0252,0.03585,-0.03585,-0.2566,-0.1646,0.092,12.0746,11.3157,1.0671,2.4571,2.7363,0.2791,0.7029
"age",5,7,1909,3150,0.01475,0.00955,0.00955,-0.2566,-0.1303,0.1263,12.0746,12.135,1.005,2.4571,2.3871,0.0701,NA
"age",5,8,1909,2916,0.01098,0.01143,-0.01143,-0.2566,-0.1731,0.0835,12.0746,12.0762,1.0001,2.4571,2.4991,0.042,0.9606
"age",5,9,1909,3123,0.01912,0.05322,-0.05322,-0.2566,-0.167,0.0896,12.0746,11.8453,1.0194,2.4571,2.4946,0.0374,0.3593
"age",5,10,1909,1717,0.03523,0.10284,0.10284,-0.2566,-0.0985,0.158,12.0746,11.9631,1.0093,2.4571,2.479,0.0219,0.3426
"age",5,11,1909,2491,0.03837,0.11454,-0.11454,-0.2566,-0.0674,0.1892,12.0746,12.2526,1.0147,2.4571,2.3721,0.085,0.335
"age",5,12,1909,4352,0.02801,0.08233,-0.08233,-0.2566,-0.1047,0.1519,12.0746,12.0467,1.0023,2.4571,2.4348,0.0223,0.3402
"age",5,13,1909,2297,0.03648,0.09906,-0.09906,-0.2566,-0.3438,0.0873,12.0746,11.402,1.059,2.4571,2.7327,0.2755,0.3683
"age",5,14,1909,3437,0.02495,0.06928,-0.06928,-0.2566,-0.1166,0.1399,12.0746,11.8175,1.0218,2.4571,2.469,0.0118,0.3601
"age",5,15,1909,2576,0.02215,0.05933,-0.05933,-0.2566,-0.1226,0.134,12.0746,12.1462,1.0059,2.4571,2.3826,0.0746,0.3733
"age",5,16,1909,1231,0.05315,0.14094,-0.14094,-0.2566,-0.3728,0.1162,12.0746,10.9006,1.1077,2.4571,2.625,0.1679,0.3771
"age",6,7,1585,3150,0.02966,0.0452,0.0452,-0.1646,-0.1303,0.0343,11.3157,12.135,1.0724,2.7363,2.3871,0.3492,0.6562
"age",6,8,1585,2916,0.02648,0.02393,0.02393,-0.1646,-0.1731,0.0085,11.3157,12.0762,1.0672,2.7363,2.4991,0.2371,1.1066
"age",6,9,1585,3123,0.0183,0.01837,-0.01837,-0.1646,-0.167,0.0024,11.3157,11.8453,1.0468,2.7363,2.4946,0.2417,0.9962
"age",6,10,1585,1717,0.04908,0.14216,0.14216,-0.1646,-0.0985,0.066,11.3157,11.9631,1.0572,2.7363,2.479,0.2572,0.3452
